Comment,Designator,Footprint,LCSC
USBLC6-2P6,U2,SOT-666,
4k7,R4,R_0805_2012Metric,
4k7,R3,R_0805_2012Metric,
RJ12,J1,RJ12_Amphenol_54601,
RJ45,J2,RJ45_Amphenol_54602-x08_Horizontal,
MAX485E,U1,SOIC-8_3.9x4.9mm_P1.27mm,
10k,R2,R_0805_2012Metric,
100n,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
120R,R1,R_0805_2012Metric,
